,page,field,events,date
154,/bankdetails/index,AccountHolderName,2,2020-05-07
155,/bankdetails/index,BankSortCode,2,2020-05-07
158,/bankdetails/index,BankName,1,2020-05-07
159,/personaldetails/index,addresses,1,2020-05-07
160,/personaldetails/index,address_1,34,2020-05-08
161,/personaldetails/index,address_town,31,2020-05-08
162,/confirmdetails/index,title,26,2020-05-08
163,/personaldetails/index,address_country,24,2020-05-08
164,/personaldetails/index,first-name,23,2020-05-08
165,/personaldetails/index,card_name,16,2020-05-08
166,/personaldetails/index,email,16,2020-05-08
167,/personaldetails/index,title,15,2020-05-08
168,/personaldetails/index,surname,11,2020-05-08
169,/personaldetails/index,address_postcode,10,2020-05-08
171,/bankdetails/index,DirectDebitStartYear,4,2020-05-08
172,/bankdetails/index,AccountNumber,3,2020-05-08
173,/bankdetails/index,DirectDebitStartDay,3,2020-05-08
174,/bankdetails/index,DirectDebitStartMonth,3,2020-05-08
176,/personaldetails/index,MC_formDonationType,2,2020-05-08
178,/bankdetails/index,AccountHolderName,1,2020-05-08
179,/bankdetails/index,BankName,1,2020-05-08
181,/confirmdetails/index,address_town,1,2020-05-08
182,/confirmdetails/index,email,1,2020-05-08
183,/confirmdetails/index,MC_formDonationType,1,2020-05-08
184,/confirmdetails/index,MC_formOrganisationName,1,2020-05-08
185,/personaldetails/index,form-change-amount-input,1,2020-05-08
186,/personaldetails/index,first-name,28,2020-05-09
187,/personaldetails/index,address_1,25,2020-05-09
188,/personaldetails/index,address_town,23,2020-05-09
189,/personaldetails/index,address_postcode,17,2020-05-09
190,/personaldetails/index,email,17,2020-05-09
191,/confirmdetails/index,title,16,2020-05-09
192,/personaldetails/index,address_country,14,2020-05-09
193,/personaldetails/index,title,14,2020-05-09
194,/personaldetails/index,surname,12,2020-05-09
195,/personaldetails/index,card_name,10,2020-05-09
196,/bankdetails/index,AccountHolderName,5,2020-05-09
197,/bankdetails/index,DirectDebitStartMonth,5,2020-05-09
198,/bankdetails/index,DirectDebitStartYear,5,2020-05-09
199,/bankdetails/index,DirectDebitStartDay,4,2020-05-09
202,/bankdetails/index,AccountNumber,3,2020-05-09
203,/bankdetails/index,BankSortCode,3,2020-05-09
204,/bankdetails/index,BankName,2,2020-05-09
205,/personaldetails/index,address_1,19,2020-05-10
206,/confirmdetails/index,title,16,2020-05-10
207,/personaldetails/index,address_town,15,2020-05-10
208,/personaldetails/index,first-name,15,2020-05-10
209,/personaldetails/index,address_country,13,2020-05-10
210,/personaldetails/index,card_name,11,2020-05-10
211,/personaldetails/index,email,11,2020-05-10
212,/personaldetails/index,address_postcode,9,2020-05-10
